
2024/03/29 (09:29:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/03/30 (11:15:51) | ===> btop++ v.1.3.2
2024/03/30 (11:15:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/02 (21:39:14) | ===> btop++ v.1.3.2
2024/04/02 (21:39:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/03 (11:28:11) | ===> btop++ v.1.3.2
2024/04/03 (11:28:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/03 (18:57:11) | ===> btop++ v.1.3.2
2024/04/03 (18:57:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/06 (00:16:02) | ===> btop++ v.1.3.2
2024/04/06 (00:16:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/06 (00:16:08) | ERROR: Stall in Runner thread, restarting!
2024/04/06 (00:16:14) | ERROR: Stall in Runner thread, restarting!
2024/04/06 (00:16:20) | ERROR: Stall in Runner thread, restarting!
2024/04/06 (00:16:26) | ERROR: Stall in Runner thread, restarting!
2024/04/06 (00:16:32) | ERROR: Stall in Runner thread, restarting!

2024/04/06 (00:16:40) | ===> btop++ v.1.3.2
2024/04/06 (00:16:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/09 (17:46:06) | ===> btop++ v.1.3.2
2024/04/09 (17:46:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/10 (17:28:04) | ===> btop++ v.1.3.2
2024/04/10 (17:28:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/11 (00:30:50) | ===> btop++ v.1.3.2
2024/04/11 (00:30:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/11 (14:28:57) | ===> btop++ v.1.3.2
2024/04/11 (14:28:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/14 (11:55:47) | ===> btop++ v.1.3.2
2024/04/14 (11:55:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/14 (12:02:01) | ===> btop++ v.1.3.2
2024/04/14 (12:02:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/14 (21:39:19) | ===> btop++ v.1.3.2
2024/04/14 (21:39:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/16 (10:05:26) | ===> btop++ v.1.3.2
2024/04/16 (10:05:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/16 (10:05:39) | ===> btop++ v.1.3.2
2024/04/16 (10:05:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/04/19 (11:48:48) | ===> btop++ v.1.3.2
